Day,Reef,Depth,Salinity,TSS,Temp,DO
5,3,8.091964535,19.32797039,11.22207173,5.905040905,12.79214214
5,4,7.496664976,19.37402261,11.22207173,5.147748744,12.73862775
5,5,10.03942029,18.65481645,11.22207173,3.99014505,12.92855546
5,6,1.894063944,18.07277966,6.589493481,4.246810061,13.1766187
5,7,7.612968844,18.33585163,6.589493481,3.6379832,12.75898328
5,8,8.336454566,17.87099942,6.589493481,3.399160984,13.15367793
5,9,5.736694009,17.87369407,6.589493481,3.427938616,12.97339052
5,10,2.947856197,17.08640713,6.589493481,3.067149979,13.32596425
5,11,5.692685305,17.04044367,6.589493481,3.040585141,13.29223465
5,12,3.14960315,16.87395424,5,2.959880684,13.15633836
5,13,3.249615362,17.56087659,6.589493481,3.355879918,12.33642915
5,14,6.557737295,16.84283203,5,2.971610552,13.10722667
5,15,6.565474247,17.12472793,5.592844581,3.186905554,12.4303341
5,16,7.938506519,17.04952592,5.592844581,2.954946716,12.43807188
5,17,7.49504095,16.4011464,5.592844581,3.392941576,12.1717941
5,18,6.922046247,16.43716656,5.592844581,3.603429191,12.02580142
5,19,6.458686625,16.5016404,5.592844581,3.876900117,11.85336532
5,20,7.429508732,16.54517231,5.592844581,4.105718952,11.69989056
6,1,8.77460946,19.91220306,11.13053447,5.778393949,12.64677104
6,2,2.987162276,19.63591728,11.13053447,5.376331497,12.72601264
6,3,8.091964535,19.41531576,11.13053447,5.723824659,12.80677024
6,4,7.496664976,19.419461,11.13053447,4.998888521,12.78056403
6,5,10.03942029,18.65356864,11.13053447,3.870511857,12.99909364
6,6,1.894063944,18.09514927,6.564327677,4.101467536,13.2323841
6,7,7.612968844,18.32631711,6.564327677,3.526506385,12.82916595
6,8,8.336454566,17.85278189,6.564327677,3.283724375,13.23527093
6,9,5.736694009,17.85982487,6.564327677,3.312636826,13.04844017
6,10,2.947856197,17.06572611,6.564327677,2.946046803,13.40813097
6,11,5.692685305,17.02188457,6.564327677,2.921259987,13.368458
